frame,class,confidence,id
1,car,0.8545120358467102,0
1,car,0.8194923996925354,1
1,car,0.684731125831604,2
1,car,0.6402038931846619,3
1,car,0.6182302236557007,4
1,car,0.5616238117218018,5
2,car,0.8475961089134216,0
2,car,0.8007553219795227,1
2,car,0.6697374582290649,2
2,car,0.6294988393783569,3
2,car,0.5952343344688416,4
2,car,0.5846391916275024,5
3,car,0.8218846917152405,0
3,car,0.8026177883148193,1
3,car,0.6528950333595276,2
3,car,0.6244102716445923,3
3,car,0.5954996943473816,4
3,car,0.5899950861930847,5
4,car,0.8170751333236694,0
4,car,0.7906700372695923,1
4,car,0.6697750091552734,2
4,car,0.6487969160079956,4
4,car,0.6079838871955872,3
4,car,0.5813137888908386,5
5,car,0.8286758661270142,0
5,car,0.7735368013381958,1
5,car,0.6706051230430603,2
5,car,0.6416173577308655,4
5,car,0.6119679808616638,3
5,car,0.5840277075767517,5
6,car,0.8246891498565674,0
6,car,0.7789660692214966,1
6,car,0.64215487241745,4
6,car,0.6402315497398376,2
6,car,0.6032160520553589,3
6,car,0.5887568593025208,5
7,car,0.8061648011207581,0
7,car,0.8018970489501953,1
7,car,0.6536526679992676,4
7,car,0.6101227402687073,2
7,car,0.6037598252296448,3
7,car,0.5872274041175842,5
8,car,0.8023359179496765,0
8,car,0.7904084920883179,1
8,car,0.6609340310096741,4
8,car,0.6601623296737671,2
8,car,0.5899261236190796,3
8,car,0.5569862723350525,5
9,car,0.80330491065979,0
9,car,0.7862952947616577,1
9,car,0.6887606382369995,2
9,car,0.6489405632019043,4
9,car,0.5855562090873718,3
9,car,0.5614945292472839,5
10,car,0.804961085319519,1
10,car,0.7945230603218079,0
10,car,0.6593723893165588,2
10,car,0.6028989553451538,4
10,car,0.5735860466957092,3
10,car,0.5540171265602112,5
11,car,0.7993530035018921,1
11,car,0.7862634062767029,0
11,car,0.6254255771636963,4
11,car,0.6078002452850342,2
11,car,0.5782397985458374,3
11,car,0.5478248000144958,5
12,car,0.7765403389930725,1
12,car,0.7744648456573486,0
12,car,0.6354339122772217,4
12,car,0.5617856383323669,3
12,car,0.5570828318595886,5
12,car,0.5431060791015625,2
13,car,0.7777230739593506,0
13,car,0.7471972107887268,1
13,car,0.6652904152870178,4
13,car,0.633614182472229,2
13,car,0.5652560591697693,3
13,car,0.5325025320053101,5
14,car,0.8096461892127991,0
14,car,0.7118913531303406,1
14,car,0.6679885387420654,4
14,car,0.5707302093505859,3
14,car,0.5492432713508606,2
14,car,0.5220284461975098,5
15,car,0.8046014904975891,0
15,car,0.7393009066581726,1
15,car,0.643357515335083,4
15,car,0.6251288652420044,2
15,car,0.5344950556755066,3
16,car,0.7847954034805298,0
16,car,0.746136486530304,1
16,car,0.7189998030662537,4
16,car,0.635708212852478,2
16,car,0.5429437756538391,3
17,car,0.808660626411438,0
17,car,0.7645524144172668,1
17,car,0.7586459517478943,4
17,car,0.5666354894638062,2
